Sample Name,Weeks after planting ,Treatment,Plant type,Test Name,Sampling time point t0 (min),t1 (min),t2(min),Test Name,Surface Area of pot (m2),volume of pot (m3),Area,BF,t0,t1,t2,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),4. Determine if above minimum detectable flux and calculate flux,"Flux, Fm (umol/m2/min)",BF_Minimum detectable flux (umol/min/m2),"5. Cleaned flux values (below MDF, p > 0.2, slope not correct direction):","Flux, Fm (umol/m2/min).1","Flux, Fm (umol/m2/hour)","Flux, Fm (mmol/m2/hour)","Flux, Fm (mg C/m2/hour)","Flux, Fm (mg CO2/m2/h)","Flux, Fm (kg CO2/ha/day)",Unnamed: 29,1st Day,t0.1,t1.1,t2.1,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),4. Determine if above minimum detectable flux and calculate flux,"Flux, Fm (umol/m2/min)",1stDay_AF_Minimum detectable flux (umol/min/m2),3rd day,t0.2,t1.2,t2.2,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),4. Determine if above minimum detectable flux and calculate flux,"Flux, Fm (umol/m2/min)",3rdDay_AF_Minimum detectable flux (umol/min/m2),5th day,t0.3,t1.3,t2.3,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),4. Determine if above minimum detectable flux and calculate flux,"Flux, Fm (umol/m2/min)",5th_DayAF_Minimum detectable flux (umol/min/m2),7th day ,t0.4,t1.4,t2.4,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),4. Determine if above minimum detectable flux and calculate flux,"Flux, Fm (umol/m2/min)",7st Day_AF_Minimum detectable flux (umol/min/m2)
A17,13,M200,L,CH4,0,30,60,CH4,0.12444,0.00510,20.67940,,2.15570,1.72630,1.55660,19.00000,20.12000,20.15000,0.08988,0.07170,0.06464,-0.01924,,-0.00079,0,,,-0.03,-0.00003,-0.00036,,-0.00003168,,,1.9889,1.8605,2.1157,19.00000,20.12000,20.15000,0.08292,0.07727,0.08786,-0.00013,,0.00000,0,,2.2629,2.114,1.8773,19.00000,20.12000,20.15000,0.09434,0.08780,0.07796,-0.01027,,0.00000,0,,2.1143,1.8147,1.7217,19.00000,20.12000,20.15000,0.00000,0.08781,0.07536,0.07163,,0.00002,1.82148E-05,,1.8313,2.1166,1.7833,19.00000,20.12000,20.15000,0.00000,0.07606,0.08790,0.07240,,0.00002,1.84104E-05
A18,13,M200,L,CH4,0,30,60,CH4,0.12444,0.00510,16.62020,,1.68220,1.93870,1.95910,19.00000,20.12000,20.15000,0.07013,0.08052,0.08136,0.00953,,0.00039,0.000390543,,,0.01,0.00001,0.00012,,0.00001056,,,2.0006,2.0547,1.7242,19.00000,20.12000,20.15000,0.08341,0.08534,0.07160,-0.00459,,0.00000,0,,1.93,1.717,2.1762,19.00000,20.12000,20.15000,0.08047,0.07131,0.09037,0.00067,,0.00000,1.69163E-07,,2.1635,2.0623,1.5306,19.00000,20.12000,20.15000,0.00000,0.08986,0.08564,0.07720,,0.00002,1.96315E-05,,2.216,1.7999,1.7214,19.00000,20.12000,20.15000,0.00000,0.09204,0.07475,0.07313,,0.00002,1.85974E-05
A21,13,C0,L,CH4,0,30,60,CH4,0.12444,0.00510,19.34380,,1.99990,2.09180,2.08210,19.00000,20.12000,20.15000,0.08338,0.08688,0.08647,0.00289,,0.00012,0.000118534,,,-0.01,-0.00001,-0.00012,,-0.00001056,,,1.9759,2.1895,2.0869,19.00000,20.12000,20.15000,0.08238,0.09094,0.08667,0.00558,,0.00000,1.41908E-06,,1.8348,1.8834,1.7817,19.00000,20.12000,20.15000,0.07650,0.07822,0.07399,-0.00042,,0.00000,0,,1.6185,2.0997,1.9247,19.00000,20.12000,20.15000,0.00000,0.06722,0.08720,0.06834,,0.00002,1.73783E-05,,2.179,2.1263,2.1554,19.00000,20.12000,20.15000,0.00000,0.09050,0.08830,0.07869,,0.00002,2.00101E-05
A22,13,C0,L,CH4,0,30,60,CH4,0.12444,0.00510,17.57210,,1.79320,1.83680,1.74310,19.00000,20.12000,20.15000,0.07476,0.07629,0.07239,-0.00044,,-0.00002,0,,,0,0,0,,0,,,2.1474,2.2138,1.7128,19.00000,20.12000,20.15000,0.08953,0.09194,0.07113,-0.00740,,0.00000,0,,2.1798,1.7471,1.8925,19.00000,20.12000,20.15000,0.09088,0.07256,0.07859,-0.01337,,0.00000,0,,1.6812,1.9884,1.8601,19.00000,20.12000,20.15000,0.00000,0.06982,0.08257,0.06732,,0.00002,1.71203E-05,,1.7702,1.7704,1.5031,19.00000,20.12000,20.15000,0.00000,0.07352,0.07352,0.06474,,0.00002,1.64639E-05
A23,13,C0,L,CH4,0,30,60,CH4,0.12444,0.00510,18.59650,,1.91270,2.00990,1.79630,19.00000,20.12000,20.15000,0.07974,0.08348,0.07460,-0.00078,,-0.00003,0,,,-0.01,-0.00001,-0.00012,,-0.00001056,,,1.8416,2.0691,1.8452,19.00000,20.12000,20.15000,0.07678,0.08594,0.07663,0.00380,,0.00000,9.66824E-07,,2.279,2.1256,1.7258,19.00000,20.12000,20.15000,0.09502,0.08828,0.07167,-0.01353,,0.00000,0,,2.0495,2.0045,1.9141,19.00000,20.12000,20.15000,0.00000,0.08512,0.08324,0.07410,,0.00002,1.88429E-05,,2.1851,2.0781,1.8234,19.00000,20.12000,20.15000,0.00000,0.09075,0.08630,0.07788,,0.00002,1.98043E-05
B1,13,U100,P,CH4,0,30,60,CH4,0.12444,0.00510,17.66080,,1.80360,1.81470,1.63560,19.00000,20.12000,20.15000,0.07520,0.07537,0.06792,-0.00326,,-0.00013,0,,,-0.01,-0.00001,-0.00012,,-0.00001056,,,1.8036,1.7749,1.7165,19.00000,20.12000,20.15000,0.07520,0.07372,0.07128,-0.00242,,0.00000,0,,2.3053,1.8124,2.2505,19.00000,20.12000,20.15000,0.09611,0.07527,0.09346,-0.01003,,0.00000,0,,1.6699,1.1851,2.057,19.00000,20.12000,20.15000,0.00000,0.06936,0.04922,0.05185,,0.00001,1.31866E-05,,1.8297,2.2066,2.1987,19.00000,20.12000,20.15000,0.00000,0.07599,0.09164,0.07408,,0.00002,1.88383E-05
B2,13,U100,P,CH4,0,30,60,CH4,0.12444,0.00510,18.51460,,1.90320,1.65900,1.97650,19.00000,20.12000,20.15000,0.07935,0.06890,0.08208,-0.00317,,-0.00013,0,,,0,0,0,,0,,,1.7365,1.8754,2.0144,19.00000,20.12000,20.15000,0.07240,0.07789,0.08365,0.00748,,0.00000,1.90095E-06,,1.8414,1.8564,1.8362,19.00000,20.12000,20.15000,0.07677,0.07710,0.07625,-0.00010,,0.00000,0,,2.138,2.1239,1.7608,19.00000,20.12000,20.15000,0.00000,0.08880,0.08820,0.07792,,0.00002,1.98154E-05,,1.7853,2.09,2.1608,19.00000,20.12000,20.15000,0.00000,0.07415,0.08679,0.07108,,0.00002,1.80764E-05
B3,13,U100,P,CH4,0,30,60,CH4,0.12444,0.00510,19.99180,,2.07550,1.82790,1.83460,19.00000,20.12000,20.15000,0.08653,0.07592,0.07619,-0.00922,,-0.00038,0,,,-0.02,-0.00002,-0.00024,,-0.00002112,,,1.9802,2.2275,2.1601,19.00000,20.12000,20.15000,0.08256,0.09251,0.08971,0.00748,,0.00000,1.9025E-06,,1.8568,1.8978,1.8236,19.00000,20.12000,20.15000,0.07741,0.07882,0.07573,-0.00018,,0.00000,0,,1.9265,2.1157,2.0694,19.00000,20.12000,20.15000,0.00000,0.08001,0.08786,0.07405,,0.00002,1.88312E-05,,2.0945,1.8192,2.0618,19.00000,20.12000,20.15000,0.00000,0.08699,0.07555,0.07137,,0.00002,1.81481E-05
B6,13,U200,P,CH4,0,30,60,CH4,0.12444,0.00510,20.98240,,2.19110,1.68520,2.07190,19.00000,20.12000,20.15000,0.09135,0.06999,0.08604,-0.01146,,-0.00047,0,,,-0.02,-0.00002,-0.00024,,-0.00002112,,,1.8386,1.9455,2.1528,19.00000,20.12000,20.15000,0.07665,0.08080,0.08940,0.00759,,0.00000,1.92983E-06,,1.8298,2.0612,2.2445,19.00000,20.12000,20.15000,0.07629,0.08561,0.09321,0.01169,,0.00000,2.97199E-06,,2.1754,2.1555,1.7511,19.00000,20.12000,20.15000,0.00000,0.09035,0.08951,0.07918,,0.00002,2.01352E-05,,1.7511,2.2387,2.1943,19.00000,20.12000,20.15000,0.00000,0.07273,0.09297,0.07331,,0.00002,1.86425E-05
B7,13,U200,P,CH4,0,30,60,CH4,0.12444,0.00510,20.04170,,2.08130,1.90660,1.56930,19.00000,20.12000,20.15000,0.08677,0.07919,0.06517,-0.01310,,-0.00054,0,,,-0.03,-0.00003,-0.00036,,-0.00003168,,,1.8581,2.2144,1.7382,19.00000,20.12000,20.15000,0.07747,0.09197,0.07218,0.00371,,0.00000,9.44418E-07,,2.2152,2.1557,1.8231,19.00000,20.12000,20.15000,0.09236,0.08953,0.07571,-0.00881,,0.00000,0,,2.0213,1.4856,1.9784,19.00000,20.12000,20.15000,0.00000,0.08395,0.06169,0.06374,,0.00002,1.62086E-05,,1.761,1.8613,1.8081,19.00000,20.12000,20.15000,0.00000,0.07314,0.07730,0.06631,,0.00002,1.68623E-05
