Sample ID,Plant type,Fertilizer type,Dose ,Methods,Result (P),Result(TC),Result(TN),Units,,Methods,Result (P),Result(TC),Result(TN),Units,,Calculation steps:,1. Convert mg/L to ug/g soil,Extraction volume (ml),Soil mass (g),Methods,Soil conc (ug P/g),Soil conc (ug C/g),Soil conc (ug N/g),Methods,Soil conc (ug P/g),Soil conc (ug C/g),Soil conc (ug N/g),,2. Subtract NF from F,Soil conc (ug P/g),Soil conc (ug C/g),Soil conc (ug N/g),,We can see that the number of >0 values is still the same. 
A25,L,None,0,F,15.8472,134,6.397,mgP/L,,NF,11.0186,9.786,2.528,mgP/L,,,,25,5.56,F,71.2554,602.5179856,28.76348921,NF,49.5441,44.0018,11.3669,,,21.7113,558.5162,17.3966,,
B1,P,UF,100,F,14.0475,119,9.452,mgP/L,,NF,14.4228,12.36,8.404,mgP/L,,,,25,5.48,F,64.0853,542.8832117,43.12043796,NF,65.7974,56.3869,38.3394,,,-1.7121,486.4964,4.781,,
B2,P,UF,100,F,14.0839,143,13.71,mgP/L,,NF,15.852,11.16,9.265,mgP/L,,,,25,5.76,F,61.1705,621.0910354,59.54656011,NF,68.8499,48.4712,40.2406,,,-7.6794,572.6199,19.3059,,
B3,P,UF,100,F,13.4861,74.43,6.716,mgP/L,,NF,12.6416,11.18,6.758,mgP/L,,,,25,5.76,F,58.5741,323.271369,29.1695622,NF,54.9062,48.558,29.352,,,3.6679,274.7133,-0.1824,,
B4,P,UF,100,F,16.0562,134.7,8.119,mgP/L,,NF,18.7858,12.55,17.03,mgP/L,,,,25,5.5,F,72.9827,612.2727273,36.90454545,NF,85.39,57.0455,77.4091,,,-12.4073,555.2273,-40.5045,,
B5,P,UF,100,F,17.6568,164.5,28.71,mgP/L,,NF,18.8045,12.9,20.75,mgP/L,,,,25,5.56,F,79.3921,739.6582734,129.0917266,NF,84.5526,58.0036,93.3004,,,-5.1605,681.6547,35.7914,,
B6,P,UF,200,F,11.4959,110.9,254.8,mgP/L,,NF,12.408,22.2,224.7,mgP/L,,,,25,5.76,F,49.9387,481.7549957,1106.863597,NF,53.901,96.4379,976.1077,,,-3.9622,385.3171,130.7559,,
B7,P,UF,200,F,20.4884,164.4,420.9,mgP/L,,NF,17.6042,21.1,342.2,mgP/L,,,,25,5.56,F,92.1241,739.2086331,1892.535971,NF,79.1556,94.8741,1538.6691,,,12.9685,644.3345,353.8669,,
B8,P,UF,200,F,12.145,128.2,29.71,mgP/L,,NF,13.1839,11.26,37.55,mgP/L,,,,25,5.48,F,55.406,584.8540146,135.5383212,NF,60.1455,51.3686,171.3047,,,-4.7395,533.4854,-35.7664,,
B9,P,UF,200,F,13.7677,120.1,460,mgP/L,,NF,14.5927,21.7,371.1,mgP/L,,,,25,5.76,F,59.7972,521.6296039,1997.915219,NF,63.3804,94.2495,1611.7964,,,-3.5832,427.3801,386.1188,,
B1O,P,UF,200,F,13.9254,129.8,414.8,mgP/L,,NF,15.0759,20.2,336.3,mgP/L,,,,25,5.64,F,61.756,575.6339396,1839.545132,NF,66.8582,89.5825,1491.4152,,,-5.1022,486.0515,348.1299,,
B11,P,MF,100,F,19.0805,150.4,10.69,mgP/L,,NF,18.3673,11.19,4.585,mgP/L,,,,25,5.64,F,84.5891,666.7648876,47.39173304,NF,81.4273,49.6084,20.3266,,,3.1618,617.1565,27.0652,,
B12,P,MF,100,F,15.8252,153.2,13.2,mgP/L,,NF,14.1285,10.72,3.196,mgP/L,,,,25,5.64,F,70.1338,678.948582,58.49948618,NF,62.6144,47.5087,14.164,,,7.5194,631.4399,44.3355,,
B13,P,MF,100,F,9.8055,163.7,11.28,mgP/L,,NF,12.6297,11.01,1.771,mgP/L,,,,25,5.64,F,43.4411,725.23722,49.97358486,NF,55.9531,48.7774,7.846,,,-12.512,676.4598,42.1276,,
B14,P,MF,100,F,6.557,219.2,16.49,mgP/L,,NF,6.4533,14.35,2.922,mgP/L,,,,25,5.64,F,29.0396,970.7899889,73.03068849,NF,28.5803,63.5531,12.9409,,,0.4593,907.2369,60.0898,,
B15,P,MF,100,F,9.6889,156.2,19.59,mgP/L,,NF,8.328,14.75,5.073,mgP/L,,,,25,5.65,F,42.8956,691.5429411,86.73064158,NF,36.8705,65.3026,22.4597,,,6.0251,626.2404,64.271,,
B16,P,MF,200,F,13.7566,155.4,18.27,mgP/L,,NF,13.7885,15.4,9.154,mgP/L,,,,25,5.65,F,60.8839,687.7689587,80.85932353,NF,61.0251,68.1573,40.5138,,,-0.1412,619.6117,40.3456,,
B17,P,MF,200,F,16.1245,145.1,7.981,mgP/L,,NF,14.4626,8.741,3.115,mgP/L,,,,25,5.65,F,71.3397,641.9666268,35.31037662,NF,63.987,38.6728,13.7817,,,7.3528,603.2938,21.5287,,
B18,P,MF,200,F,13.6881,153.6,6.787,mgP/L,,NF,14.9503,12.59,6.59,mgP/L,,,,25,5.65,F,60.5399,679.3440669,30.01763139,NF,66.1224,55.6832,29.1463,,,-5.5825,623.6609,0.8713,,
B19,P,MF,200,F,12.9767,151.4,13.4,mgP/L,,NF,13.8411,11.67,3.938,mgP/L,,,,25,5.65,F,57.3742,669.3881622,59.24571581,NF,61.196,51.5968,17.4112,,,-3.8218,617.7913,41.8345,,
B20,P,MF,200,F,8.9318,134.9,8.145,mgP/L,,NF,14.5207,10.61,4.532,mgP/L,,,,25,5.66,F,39.4771,596.2353664,35.99953343,NF,64.1791,46.8944,20.0307,,,-24.702,549.3409,15.9689,,
B21,P,None,0,F,8.9318,205.3,13.15,mgP/L,,NF,6.0265,13.74,2.221,mgP/L,,,,25,5.66,F,39.4638,907.0858933,58.10121528,NF,26.6271,60.708,9.8131,,,12.8366,846.3779,48.2881,,
B22,P,None,0,F,13.5171,176,8.311,mgP/L,,NF,11.2363,10.02,1.451,mgP/L,,,,25,5.66,F,59.7031,777.3665711,36.70848621,NF,49.6291,44.2569,6.4089,,,10.074,733.1097,30.2996,,
B23,P,None,0,F,14.2409,192.8,0,mgP/L,,NF,10.871,10.42,1.878,mgP/L,,,,25,5.66,F,62.8788,851.2830796,0,NF,47.9995,46.0081,8.2921,,,14.8794,805.2749,-8.2921,,
B24,P,None,0,F,6.4315,175.1,7.201,mgP/L,,NF,5.4241,9.09,2.439,mgP/L,,,,25,5.66,F,28.3879,772.8708823,31.78437021,NF,23.9413,40.1222,10.7655,,,4.4465,732.7487,21.0189,,
B25,P,None,0,F,5.6011,190.1,6.725,mgP/L,,NF,5.0579,7.615,1.81,mgP/L,,,,25,5.67,F,24.7143,838.7968552,29.67337639,NF,22.3175,33.6004,7.9864,,,2.3968,805.1964,21.6869,,
