Sample Name,Weeks after planting ,Treatment,Plant type,Test Name,Sampling time point t0 (min),t1 (min),t2(min),Surface Area of pot (m2),volume of pot (L),BF,t0,t1,t2,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),"Flux, Fm (umol/m2/min)",BF flux (umol/min/m2),"5. Cleaned flux values (below MDF, p > 0.2, slope not correct direction):","Flux, Fm (umol/m2/min).1","Flux, Fm (umol/m2/hour)","Flux, Fm (mmol/m2/hour)","Flux, Fm (mg C/m2/hour)","Flux, Fm (mg CO2/m2/h)","Flux, Fm (kg CO2/ha/day)",Unnamed: 29,1st Day,t0.1,t1.1,t2.1,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),"Flux, Fm (umol/m2/min)",AF_1stday_flux (umol/min/m2),3rd day,t0.2,t1.2,t2.2,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),"Flux, Fm (umol/m2/min)",AF_3rdday_flux (umol/min/m2),5th day,t0.3,t1.3,t2.3,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),"Flux, Fm (umol/m2/min)",AF_5thday_flux (umol/min/m2),7th day ,t0.4,t1.4,t2.4,t0 temp (C),t1 temp (C),t2 temp (C),t0 (umol/L),t1 (umol/L),t2 (umol/L),BF_Slope (umol/L/min),"Flux, Fm (umol/m2/min)",AF_7thday_flux (umol/min/m2)
A17,13,M200,L,CH4,0,30,60,0.12444,5.01000,,2.15570,1.72630,1.55660,19.00000,20.12000,20.15000,0.08988,0.07170,0.06464,-0.01924,-0.77446,0,,,-0.03,-0.00003,-0.00036,,-0.00003168,,,1.9889,1.8605,2.1157,19.00000,20.12000,20.15000,0.08292,0.07727,0.08786,-0.00013,-0.00512,0,,2.2629,2.114,1.8773,19.00000,20.12000,20.15000,0.09434,0.08780,0.07796,-0.01027,-0.41335,0,,2.1143,1.8147,1.7217,19.00000,20.12000,20.15000,0.00000,0.08781,0.07536,0.07163,2.88376,2.883760744,,1.8313,2.1166,1.7833,19.00000,20.12000,20.15000,0.00000,0.07606,0.08790,0.07240,2.91472,2.914724936
A18,13,M200,L,CH4,0,30,60,0.12444,5.01000,,1.68220,1.93870,1.95910,19.00000,20.12000,20.15000,0.07013,0.08052,0.08136,0.00953,0.38365,0.383651389,,,0.01,0.00001,0.00012,,0.00001056,,,2.0006,2.0547,1.7242,19.00000,20.12000,20.15000,0.08341,0.08534,0.07160,-0.00459,-0.18474,0,,1.93,1.717,2.1762,19.00000,20.12000,20.15000,0.08047,0.07131,0.09037,0.00067,0.02678,0.026781749,,2.1635,2.0623,1.5306,19.00000,20.12000,20.15000,0.00000,0.08986,0.08564,0.07720,3.10805,3.108045698,,2.216,1.7999,1.7214,19.00000,20.12000,20.15000,0.00000,0.09204,0.07475,0.07313,2.94434,2.944339694
A21,13,C0,L,CH4,0,30,60,0.12444,5.01000,,1.99990,2.09180,2.08210,19.00000,20.12000,20.15000,0.08338,0.08688,0.08647,0.00289,0.11644,0.11644229,,,-0.01,-0.00001,-0.00012,,-0.00001056,,,1.9759,2.1895,2.0869,19.00000,20.12000,20.15000,0.08238,0.09094,0.08667,0.00558,0.22467,0.224668295,,1.8348,1.8834,1.7817,19.00000,20.12000,20.15000,0.07650,0.07822,0.07399,-0.00042,-0.01678,0,,1.6185,2.0997,1.9247,19.00000,20.12000,20.15000,0.00000,0.06722,0.08720,0.06834,2.75133,2.751332475,,2.179,2.1263,2.1554,19.00000,20.12000,20.15000,0.00000,0.09050,0.08830,0.07869,3.16799,3.167986682
A22,13,C0,L,CH4,0,30,60,0.12444,5.01000,,1.79320,1.83680,1.74310,19.00000,20.12000,20.15000,0.07476,0.07629,0.07239,-0.00044,-0.01778,0,,,0,0,0,,0,,,2.1474,2.2138,1.7128,19.00000,20.12000,20.15000,0.08953,0.09194,0.07113,-0.00740,-0.29796,0,,2.1798,1.7471,1.8925,19.00000,20.12000,20.15000,0.09088,0.07256,0.07859,-0.01337,-0.53829,0,,1.6812,1.9884,1.8601,19.00000,20.12000,20.15000,0.00000,0.06982,0.08257,0.06732,2.71048,2.710481391,,1.7702,1.7704,1.5031,19.00000,20.12000,20.15000,0.00000,0.07352,0.07352,0.06474,2.60656,2.606563525
A23,13,C0,L,CH4,0,30,60,0.12444,5.01000,,1.91270,2.00990,1.79630,19.00000,20.12000,20.15000,0.07974,0.08348,0.07460,-0.00078,-0.03131,0,,,-0.01,-0.00001,-0.00012,,-0.00001056,,,1.8416,2.0691,1.8452,19.00000,20.12000,20.15000,0.07678,0.08594,0.07663,0.00380,0.15307,0.153067097,,2.279,2.1256,1.7258,19.00000,20.12000,20.15000,0.09502,0.08828,0.07167,-0.01353,-0.54489,0,,2.0495,2.0045,1.9141,19.00000,20.12000,20.15000,0.00000,0.08512,0.08324,0.07410,2.98321,2.983206355,,2.1851,2.0781,1.8234,19.00000,20.12000,20.15000,0.00000,0.09075,0.08630,0.07788,3.13541,3.135410166
B1,13,U100,P,CH4,0,30,60,0.12444,5.01000,,1.80360,1.81470,1.63560,19.00000,20.12000,20.15000,0.07520,0.07537,0.06792,-0.00326,-0.13105,0,,,-0.01,-0.00001,-0.00012,,-0.00001056,,,1.8036,1.7749,1.7165,19.00000,20.12000,20.15000,0.07520,0.07372,0.07128,-0.00242,-0.09728,0,,2.3053,1.8124,2.2505,19.00000,20.12000,20.15000,0.09611,0.07527,0.09346,-0.01003,-0.40363,0,,1.6699,1.1851,2.057,19.00000,20.12000,20.15000,0.00000,0.06936,0.04922,0.05185,2.08769,2.087692968,,1.8297,2.2066,2.1987,19.00000,20.12000,20.15000,0.00000,0.07599,0.09164,0.07408,2.98247,2.982474411
B2,13,U100,P,CH4,0,30,60,0.12444,5.01000,,1.90320,1.65900,1.97650,19.00000,20.12000,20.15000,0.07935,0.06890,0.08208,-0.00317,-0.12745,0,,,0,0,0,,0,,,1.7365,1.8754,2.0144,19.00000,20.12000,20.15000,0.07240,0.07789,0.08365,0.00748,0.30096,0.300958015,,1.8414,1.8564,1.8362,19.00000,20.12000,20.15000,0.07677,0.07710,0.07625,-0.00010,-0.00391,0,,2.138,2.1239,1.7608,19.00000,20.12000,20.15000,0.00000,0.08880,0.08820,0.07792,3.13716,3.137161208,,1.7853,2.09,2.1608,19.00000,20.12000,20.15000,0.00000,0.07415,0.08679,0.07108,2.86184,2.861842994
B3,13,U100,P,CH4,0,30,60,0.12444,5.01000,,2.07550,1.82790,1.83460,19.00000,20.12000,20.15000,0.08653,0.07592,0.07619,-0.00922,-0.37131,0,,,-0.02,-0.00002,-0.00024,,-0.00002112,,,1.9802,2.2275,2.1601,19.00000,20.12000,20.15000,0.08256,0.09251,0.08971,0.00748,0.30120,0.301202978,,1.8568,1.8978,1.8236,19.00000,20.12000,20.15000,0.07741,0.07882,0.07573,-0.00018,-0.00705,0,,1.9265,2.1157,2.0694,19.00000,20.12000,20.15000,0.00000,0.08001,0.08786,0.07405,2.98135,2.981346371,,2.0945,1.8192,2.0618,19.00000,20.12000,20.15000,0.00000,0.08699,0.07555,0.07137,2.87321,2.873205382
B6,13,U200,P,CH4,0,30,60,0.12444,5.01000,,2.19110,1.68520,2.07190,19.00000,20.12000,20.15000,0.09135,0.06999,0.08604,-0.01146,-0.46146,0,,,-0.02,-0.00002,-0.00024,,-0.00002112,,,1.8386,1.9455,2.1528,19.00000,20.12000,20.15000,0.07665,0.08080,0.08940,0.00759,0.30553,0.305530285,,1.8298,2.0612,2.2445,19.00000,20.12000,20.15000,0.07629,0.08561,0.09321,0.01169,0.47052,0.470523999,,2.1754,2.1555,1.7511,19.00000,20.12000,20.15000,0.00000,0.09035,0.08951,0.07918,3.18779,3.18778931,,1.7511,2.2387,2.1943,19.00000,20.12000,20.15000,0.00000,0.07273,0.09297,0.07331,2.95147,2.951468502
B7,13,U200,P,CH4,0,30,60,0.12444,5.01000,,2.08130,1.90660,1.56930,19.00000,20.12000,20.15000,0.08677,0.07919,0.06517,-0.01310,-0.52729,0,,,-0.03,-0.00003,-0.00036,,-0.00003168,,,1.8581,2.2144,1.7382,19.00000,20.12000,20.15000,0.07747,0.09197,0.07218,0.00371,0.14952,0.149519782,,2.2152,2.1557,1.8231,19.00000,20.12000,20.15000,0.09236,0.08953,0.07571,-0.00881,-0.35484,0,,2.0213,1.4856,1.9784,19.00000,20.12000,20.15000,0.00000,0.08395,0.06169,0.06374,2.56613,2.566132087,,1.761,1.8613,1.8081,19.00000,20.12000,20.15000,0.00000,0.07314,0.07730,0.06631,2.66963,2.669628301
B8,13,U200,P,CH4,0,30,60,0.12444,5.01000,,1.85340,1.73550,1.90020,19.00000,20.12000,20.15000,0.07727,0.07208,0.07891,-0.00144,-0.05815,0,,,-0.01,-0.00001,-0.00012,,-0.00001056,,,1.9678,2.1008,2.1317,19.00000,20.12000,20.15000,0.08204,0.08725,0.08853,0.00517,0.20821,0.208213768,,1.868,1.8664,1.8186,19.00000,20.12000,20.15000,0.07788,0.07752,0.07552,-0.00123,-0.04963,0,,2.1733,1.6928,1.9608,19.00000,20.12000,20.15000,0.00000,0.09026,0.07030,0.07035,2.83218,2.832180991,,1.6831,2.2036,1.7535,19.00000,20.12000,20.15000,0.00000,0.06990,0.09151,0.07145,2.87653,2.876526269
B11,13,M100,P,CH4,0,30,60,0.12444,5.01000,,1.72680,2.13660,1.78820,19.00000,20.12000,20.15000,0.07199,0.08874,0.07426,0.00812,0.32685,0.326854318,,,0,0,0,,0,,,1.8988,2.1647,1.627,19.00000,20.12000,20.15000,0.07916,0.08991,0.06757,-0.00077,-0.03088,0,,1.7745,1.7988,1.772,19.00000,20.12000,20.15000,0.07398,0.07471,0.07359,0.00013,0.00511,0.005111938,,1.7229,2.0631,1.6532,19.00000,20.12000,20.15000,0.00000,0.07156,0.08568,0.06948,2.79714,2.797135988,,2.2464,2.1694,1.9833,19.00000,20.12000,20.15000,0.00000,0.09330,0.09009,0.08069,3.24863,3.248627423
B12,13,M100,P,CH4,0,30,60,0.12444,5.01000,,2.00940,1.66700,1.76550,19.00000,20.12000,20.15000,0.08378,0.06923,0.07332,-0.01094,-0.44026,0,,,-0.02,-0.00002,-0.00024,,-0.00002112,,,1.8529,2.0997,2.1027,19.00000,20.12000,20.15000,0.07725,0.08721,0.08732,0.00882,0.35508,0.355075394,,2.2622,2.3073,1.8311,19.00000,20.12000,20.15000,0.09432,0.09583,0.07604,-0.00772,-0.31100,0,,1.7239,2.1308,1.6229,19.00000,20.12000,20.15000,0.00000,0.07160,0.08849,0.07078,2.84966,2.849656651,,2.2523,1.8157,2.1352,19.00000,20.12000,20.15000,0.00000,0.09354,0.07540,0.07407,2.98210,2.982097656
B13,13,M100,P,CH4,0,30,60,0.12444,5.01000,,2.16950,1.75040,2.15300,19.00000,20.12000,20.15000,0.09045,0.07270,0.08941,-0.00798,-0.32137,0,,,0,0,0,,0,,,1.6763,1.6296,1.8699,19.00000,20.12000,20.15000,0.06989,0.06768,0.07765,0.00262,0.10556,0.105557567,,2.282,2.3105,2.2529,19.00000,20.12000,20.15000,0.09514,0.09596,0.09356,-0.00038,-0.01518,0,,1.6067,2.0922,2.0571,19.00000,20.12000,20.15000,0.00000,0.06673,0.08689,0.06799,2.73725,2.737249337,,1.4666,2.1491,2.0128,19.00000,20.12000,20.15000,0.00000,0.06091,0.08925,0.06661,2.68174,2.681740917
B16,13,M200,P,CH4,0,30,60,0.12444,5.01000,,1.80080,1.71940,1.98340,19.00000,20.12000,20.15000,0.07508,0.07141,0.08237,0.00179,0.07189,0.071891973,,,0.01,0.00001,0.00012,,0.00001056,,,2.1982,2.0905,1.7152,19.00000,20.12000,20.15000,0.09165,0.08682,0.07123,-0.01139,-0.45839,0,,2.3014,1.9762,2.2616,19.00000,20.12000,20.15000,0.09595,0.08208,0.09392,-0.00679,-0.27356,0,,2.1118,1.6555,1.952,19.00000,20.12000,20.15000,0.00000,0.08771,0.06875,0.06856,2.76015,2.760150769,,1.7924,1.7402,1.7346,19.00000,20.12000,20.15000,0.00000,0.07444,0.07227,0.06456,2.59915,2.599146507
B17,13,M200,P,CH4,0,30,60,0.12444,5.01000,,2.20220,1.72190,1.96010,19.00000,20.12000,20.15000,0.09181,0.07151,0.08140,-0.01335,-0.53748,0,,,-0.02,-0.00002,-0.00024,,-0.00002112,,,2.2251,1.8313,1.5256,19.00000,20.12000,20.15000,0.09277,0.07606,0.06336,-0.02053,-0.82652,0,,2.2846,2.0738,2.1972,19.00000,20.12000,20.15000,0.09525,0.08613,0.09125,-0.00569,-0.22901,0,,2.0895,1.9585,1.9906,19.00000,20.12000,20.15000,0.00000,0.08678,0.08133,0.07393,2.97628,2.976282258,,2.2064,1.7951,1.6711,19.00000,20.12000,20.15000,0.00000,0.09164,0.07455,0.07287,2.93388,2.933878467
B18,13,M200,P,CH4,0,30,60,0.12444,5.01000,,2.21690,2.14870,1.71260,19.00000,20.12000,20.15000,0.09243,0.08924,0.07112,-0.01110,-0.44687,0,,,-0.04,-0.00004,-0.00048,,-0.00004224,,,2.1258,1.8663,2.3056,19.00000,20.12000,20.15000,0.08863,0.07751,0.09575,-0.00144,-0.05803,0,,2.0307,2.2786,1.8365,19.00000,20.12000,20.15000,0.08466,0.09464,0.07627,0.00037,0.01502,0.015023908,,1.7618,2.0751,1.6193,19.00000,20.12000,20.15000,0.00000,0.07317,0.08618,0.07039,2.83382,2.833823957,,1.9997,1.7434,1.8578,19.00000,20.12000,20.15000,0.00000,0.08305,0.07240,0.06826,2.74817,2.748165066
B21,13,C0,P,CH4,0,30,60,0.12444,5.01000,,1.61970,1.65840,1.96370,19.00000,20.12000,20.15000,0.06753,0.06888,0.08155,0.00699,0.28137,0.281370115,,,0.01,0.00001,0.00012,,0.00001056,,,2.1467,1.7258,1.7665,19.00000,20.12000,20.15000,0.08950,0.07168,0.07336,-0.01492,-0.60086,0,,1.8049,2.0793,1.8304,19.00000,20.12000,20.15000,0.07525,0.08636,0.07601,0.00505,0.20320,0.203198311,,2.1035,1.5628,1.3295,19.00000,20.12000,20.15000,0.00000,0.08736,0.06490,0.06665,2.68334,2.683335172,,2.0572,1.9373,1.8423,19.00000,20.12000,20.15000,0.00000,0.08544,0.08045,0.07296,2.93722,2.937219614
B22,13,C0,P,CH4,0,30,60,0.12444,5.01000,,1.81050,1.92910,1.84060,19.00000,20.12000,20.15000,0.07548,0.08012,0.07644,0.00240,0.09653,0.096529944,,,-0.01,-0.00001,-0.00012,,-0.00001056,,,2.07,2.0685,2.0754,19.00000,20.12000,20.15000,0.08630,0.08591,0.08619,-0.00022,-0.00877,0,,2.1444,2.0352,1.6631,19.00000,20.12000,20.15000,0.08940,0.08453,0.06907,-0.01137,-0.45784,0,,2.0184,1.5532,1.6273,19.00000,20.12000,20.15000,0.00000,0.08383,0.06450,0.06497,2.61582,2.615818758,,1.8269,1.8932,1.8412,19.00000,20.12000,20.15000,0.00000,0.07588,0.07862,0.06807,2.74064,2.740636656
B23,13,C0,P,CH4,0,30,60,0.12444,5.01000,,1.69690,2.01480,1.85330,19.00000,20.12000,20.15000,0.07075,0.08368,0.07696,0.00831,0.33476,0.334755879,,,0,0,0,,0,,,1.6909,2.0969,1.7749,19.00000,20.12000,20.15000,0.07050,0.08709,0.07371,0.00849,0.34167,0.341669746,,1.6416,1.733,1.9992,19.00000,20.12000,20.15000,0.06844,0.07198,0.08302,0.00817,0.32891,0.328914449,,1.9985,1.6923,1.7458,19.00000,20.12000,20.15000,0.00000,0.08300,0.07028,0.06727,2.70821,2.708207665,,1.8627,2.263,2.3801,19.00000,20.12000,20.15000,0.00000,0.07736,0.09398,0.07573,3.04897,3.048972006
A1,13,U100,L,CO2,0,30,60,0.12444,5.01000,,1004.22180,2586.51570,1361.42940,19.00000,20.12000,20.15000,41.86784,107.42474,56.53793,34.43546,1386.38412,1386.384122,,,14.71,0.01471,0.17652,,0.01553376,,,715.4536,1089.7502,1.8166,19.00000,20.12000,20.15000,29.82857,45.26017,0.07544,-7.09452,-285.62792,0,,598.6988,620.0469,1446.6919,19.00000,20.12000,20.15000,24.96085,25.75216,60.07874,16.40998,660.67186,660.6718585,,554.1321,1470.8775,2543.2715,19.00000,20.12000,20.15000,0.00000,23.01455,61.08313,37.69259,1517.51742,1517.517425,,569.6004,1214.0926,2699.085,19.00000,20.12000,20.15000,0.00000,23.65699,50.41927,33.08281,1331.92598,1331.925984
A2,13,U100,L,CO2,0,30,60,0.12444,5.01000,,768.50750,1533.12910,3913.80650,19.00000,20.12000,20.15000,32.04048,63.67485,162.53397,73.11031,2943.44803,2943.448033,,,153.78,0.15378,1.84536,,0.16239168,,,742.6002,992.5824,1816.126,19.00000,20.12000,20.15000,30.96036,41.22454,75.42073,24.69206,994.11137,994.111367,,538.4859,881.5313,1696.7182,19.00000,20.12000,20.15000,22.45046,36.61229,70.46192,27.96568,1125.90839,1125.908393,,547.8363,1671.0058,2418.7922,19.00000,20.12000,20.15000,0.00000,22.75307,69.39413,41.38642,1666.23254,1666.232543,,644.2401,1295.5864,2263.2682,19.00000,20.12000,20.15000,0.00000,26.75697,53.80358,35.94279,1447.06986,1447.069855
A3,13,U100,L,CO2,0,30,60,0.12444,5.01000,,1136.21640,2646.11190,3706.70470,19.00000,20.12000,20.15000,47.37094,109.89993,153.93337,75.21928,3028.35578,3028.355783,,,124.16,0.12416,1.48992,,0.13111296,,,645.3525,858.1996,1929.1681,19.00000,20.12000,20.15000,26.90593,35.64327,80.11519,28.05130,1129.35544,1129.35544,,511.6303,619.6399,1649.4799,19.00000,20.12000,20.15000,21.33080,25.73526,68.50019,23.45440,944.28257,944.2825685,,619.995,1504.5597,2787.3829,19.00000,20.12000,20.15000,0.00000,25.75001,62.48190,39.48954,1589.86354,1589.86354,,659.3477,1003.7109,2048.5005,19.00000,20.12000,20.15000,0.00000,27.38443,41.68247,30.65961,1234.36709,1234.367091
A6,13,U200,L,CO2,0,30,60,0.12444,5.01000,,605.51310,1147.50680,1182.34390,19.00000,20.12000,20.15000,25.24495,47.65895,49.10080,20.39769,821.21854,821.2185369,,,26.81,0.02681,0.32172,,0.02831136,,,576.29,800.2406,1262.4616,19.00000,20.12000,20.15000,24.02658,33.23608,52.42796,16.89502,680.19954,680.1995352,,506.5207,683.4404,1096.9034,19.00000,20.12000,20.15000,21.11777,28.38506,45.55260,14.25806,574.03487,574.0348681,,508.6838,1015.3447,1598.405,19.00000,20.12000,20.15000,0.00000,21.12696,42.16560,28.23485,1136.74546,1136.745463,,480.8428,892.8187,1179.5654,19.00000,20.12000,20.15000,0.00000,19.97066,37.07730,25.41672,1023.28651,1023.286514
