  	          	          	                    	   	Si   	    	Na  	    	Mg   	    	Al  	    	P   	    	K    	    	Ca   	    	Fe  	    	Cl   	    	SiO2 	    	Ag     	    	Cu	    	Mn 	    	S    	    	Zn 	    	
Nr	Ident     	Seq       	Time                	Pos	C    	Unit	C   	Unit	C    	Unit	C   	Unit	C   	Unit	C    	Unit	C    	Unit	C   	Unit	C    	Unit	C    	Unit	C      	Unit	C 	Unit	C  	Unit	C    	Unit	C  	Unit	
79	A19_L     	1 of 1    	13-Jan-2024 16:19:39	9  	0.349	%   	1554	ppm 	1528 	ppm 	-100	ppm 	2309	ppm 	33726	ppm 	10223	ppm 	64  	ppm 	12387	ppm 	0.75 	%   	359.313	cps 	5 	ppm 	122	ppm 	2899 	ppm 	96 	ppm 	
80	A5_R      	1 of 1    	13-Jan-2024 16:26:29	10 	2.313	%   	1301	ppm 	1346 	ppm 	476 	ppm 	2447	ppm 	14551	ppm 	2457 	ppm 	667 	ppm 	12099	ppm 	4.95 	%   	406.980	cps 	7 	ppm 	457	ppm 	1687 	ppm 	209	ppm 	
81	A21_R     	1 of 1    	13-Jan-2024 16:37:22	1  	0.267	%   	197 	ppm 	1683 	ppm 	231 	ppm 	2145	ppm 	4787 	ppm 	1449 	ppm 	198 	ppm 	3573 	ppm 	0.57 	%   	279.153	cps 	4 	ppm 	33 	ppm 	1229 	ppm 	45 	ppm 	
82	A14_R     	1 of 1    	13-Jan-2024 16:43:49	2  	0.984	%   	561 	ppm 	1646 	ppm 	359 	ppm 	2574	ppm 	12456	ppm 	2056 	ppm 	388 	ppm 	5131 	ppm 	2.10 	%   	419.501	cps 	7 	ppm 	123	ppm 	2771 	ppm 	145	ppm 	
83	A25_R     	1 of 1    	13-Jan-2024 16:50:39	3  	3.351	%   	97  	ppm 	1603 	ppm 	536 	ppm 	1282	ppm 	4231 	ppm 	1468 	ppm 	1411	ppm 	5506 	ppm 	7.17 	%   	385.283	cps 	9 	ppm 	97 	ppm 	624  	ppm 	150	ppm 	
84	A12_R     	1 of 1    	13-Jan-2024 16:57:29	4  	0.431	%   	451 	ppm 	1652 	ppm 	403 	ppm 	2525	ppm 	8068 	ppm 	2362 	ppm 	273 	ppm 	4117 	ppm 	0.92 	%   	415.295	cps 	6 	ppm 	53 	ppm 	2135 	ppm 	74 	ppm 	
85	A1_R      	1 of 1    	13-Jan-2024 17:04:20	5  	0.230	%   	1312	ppm 	1488 	ppm 	72  	ppm 	5373	ppm 	17511	ppm 	2549 	ppm 	73  	ppm 	10146	ppm 	0.49 	%   	320.018	cps 	7 	ppm 	213	ppm 	3281 	ppm 	180	ppm 	
86	A23_R     	1 of 1    	13-Jan-2024 17:11:11	6  	0.161	%   	-711	ppm 	1830 	ppm 	206 	ppm 	313 	ppm 	-703 	ppm 	77   	ppm 	58  	ppm 	623  	ppm 	0.34 	%   	97.084 	cps 	3 	ppm 	20 	ppm 	-1269	ppm 	44 	ppm 	
87	A2_L      	1 of 1    	13-Jan-2024 17:18:02	7  	0.196	%   	2868	ppm 	1184 	ppm 	-116	ppm 	2970	ppm 	33087	ppm 	10898	ppm 	-419	ppm 	21362	ppm 	0.42 	%   	338.362	cps 	5 	ppm 	518	ppm 	2047 	ppm 	141	ppm 	
88	A11_L     	1 of 1    	13-Jan-2024 17:24:53	8  	0.296	%   	1986	ppm 	1418 	ppm 	-29 	ppm 	1981	ppm 	29139	ppm 	10735	ppm 	144 	ppm 	14827	ppm 	0.63 	%   	377.502	cps 	6 	ppm 	68 	ppm 	3180 	ppm 	81 	ppm 	
89	A3_L      	1 of 1    	13-Jan-2024 17:31:44	9  	0.301	%   	2928	ppm 	1032 	ppm 	-52 	ppm 	2507	ppm 	31959	ppm 	8919 	ppm 	-300	ppm 	22554	ppm 	0.64 	%   	272.690	cps 	4 	ppm 	440	ppm 	1919 	ppm 	130	ppm 	
90	A4_L      	1 of 1    	13-Jan-2024 17:38:34	10 	0.198	%   	3464	ppm 	954  	ppm 	-96 	ppm 	2768	ppm 	32410	ppm 	10657	ppm 	-441	ppm 	24843	ppm 	0.42 	%   	410.102	cps 	5 	ppm 	527	ppm 	2384 	ppm 	157	ppm 	
91	A5_L      	1 of 1    	15-Jan-2024 12:05:47	1  	0.207	%   	1091	ppm 	1360 	ppm 	89  	ppm 	973 	ppm 	12753	ppm 	4189 	ppm 	-263	ppm 	12455	ppm 	0.44 	%   	243.945	cps 	3 	ppm 	315	ppm 	-52  	ppm 	115	ppm 	
92	A13_L     	1 of 1    	15-Jan-2024 12:12:13	2  	0.241	%   	2024	ppm 	1370 	ppm 	-27 	ppm 	1815	ppm 	24185	ppm 	9327 	ppm 	64  	ppm 	15661	ppm 	0.52 	%   	441.049	cps 	5 	ppm 	98 	ppm 	2543 	ppm 	83 	ppm 	
93	A12_L     	1 of 1    	15-Jan-2024 12:19:05	3  	0.225	%   	2014	ppm 	1381 	ppm 	-13 	ppm 	2000	ppm 	23559	ppm 	10471	ppm 	70  	ppm 	15909	ppm 	0.48 	%   	345.184	cps 	5 	ppm 	82 	ppm 	1968 	ppm 	91 	ppm 	
94	??????????	Ave of 93 	15-Jan-2024 12:19:05	   	1.644	%   	2232	ppm 	1122 	ppm 	310 	ppm 	2030	ppm 	15294	ppm 	4997 	ppm 	520 	ppm 	18949	ppm 	3.52 	%   	377.645	cps 	6 	ppm 	191	ppm 	2987 	ppm 	124	ppm 	
95	??????????	SDev of 93	15-Jan-2024 12:19:05	   	1.935	%   	2403	ppm 	677  	ppm 	381 	ppm 	1024	ppm 	10349	ppm 	3797 	ppm 	847 	ppm 	16725	ppm 	4.14 	%   	78.857 	cps 	2 	ppm 	164	ppm 	2839 	ppm 	61 	ppm 	
