Sample Name,Time of sampling (after hrs) ,Plant,Test Name (PPM),RT,Area,BF,1st Day,3rd day,5th day,7th day 
A2.12,1,L,CH4,2.791,19.816,2.055,2.0556,2.1031,2.023,2.1589
A2.12,1,L,CO2,4.192,18731.9586,2139.5508,1136.2149,888.207,1342.1211,1449.301
A2.12,1,L,N2O,5.119,119.3563,0.2649,0.2771,0.2701,0.2857,0.2808
A2.13,1,L,CH4,2.793,15.9245,1.601,2.0683,1.9168,2.0211,1.738
A2.13,1,L,CO2,4.193,20629.6943,2357.3821,1145.1921,756.1007,1751.5912,1444.052
A2.13,1,L,N2O,5.121,109.9981,0.2387,0.275,0.2368,0.2883,0.252
A2.16,1,L,CH4,2.794,19.0768,1.9688,1.6601,1.6822,1.779,2.143
A2.16,1,L,CO2,4.193,22453.0148,2566.6718,940.0826,741.7316,1680.7002,1271.2855
A2.16,1,L,N2O,5.122,124.2123,0.2785,0.2347,0.241,0.2708,0.2893
A2.17,1,L,CH4,2.795,16.9985,1.7263,1.8605,2.114,1.8147,2.1166
A2.17,1,L,CO2,4.195,20268.8066,2315.9577,749.312,1203.8907,1678.7222,1945.4857
A2.17,1,L,N2O,5.124,109.1345,0.2363,0.2187,0.2844,0.2736,0.2984
A2.18,1,L,CH4,2.796,18.8192,1.9387,2.0547,1.717,2.0623,1.7999
A2.18,1,L,CO2,4.195,18884.6171,2157.0737,1231.3845,850.838,1220.3861,1312.5048
A2.18,1,L,N2O,5.121,120.9101,0.2692,0.2678,0.3594,0.3165,0.2638
A2.21,1,L,CH4,2.795,20.1315,2.0918,2.1895,1.8834,2.0997,2.1263
A2.21,1,L,CO2,4.195,15216.5896,1736.0396,1188.4117,720.5884,1272.7612,1214.7183
A2.21,1,L,N2O,5.123,127.3743,0.2873,0.2714,0.2742,0.3029,0.3319
A2.22,1,L,CH4,2.793,17.946,1.8368,2.2138,1.7471,1.9884,1.7704
A2.22,1,L,CO2,4.194,14046.0952,1601.6845,1525.8291,741.7717,2005.8054,1363.515
A2.22,1,L,N2O,5.12,111.4847,0.2429,0.2636,0.228,0.283,0.2484
A2.23,1,L,CH4,2.791,19.4293,2.0099,2.0691,2.1256,2.0045,2.0781
A2.23,1,L,CO2,4.191,21523.5413,2459.9823,1148.9657,989.2199,1334.4801,1527.0332
